fecha,qobs
1980-01-01,0.13310605377259743
1980-01-02,0.03562130678302375
1980-01-03,0.05245618644231097
1980-01-04,0.02170617318783412
1980-01-05,0.08976285760665463
1980-01-06,0.04155723715455302
1980-01-07,0.1270968655409845
1980-01-08,0.02788204910698605
1980-01-09,0.07512119124405489
1980-01-10,0.07316390619885435
1980-01-11,0.11793367702810392
1980-01-12,0.12720133767175013
1980-01-13,0.1282936955624837
1980-01-14,0.1312773893676385
1980-01-15,0.109688367919803
1980-01-16,0.12938786003255504
1980-01-17,0.08297187706649231
1980-01-18,0.14561954562573715
1980-01-19,0.05426720188313252
1980-01-20,0.09154687177626047
1980-01-21,0.08847414105291408
1980-01-22,0.10251793022235958
1980-01-23,0.10245984328093957
1980-01-24,0.09465331106040026
1980-01-25,0.054153974772252055
1980-01-26,0.09306564100900536
1980-01-27,0.12318155814891907
1980-01-28,0.12436506830560558
1980-01-29,0.25985376566726637
1980-01-30,0.13712256753422133
1980-01-31,0.11975657953579905
1980-02-01,0.12630440105805518
1980-02-02,0.15203394865736747
1980-02-03,0.13846975675401124
1980-02-04,0.11444454167905631
1980-02-05,0.19046651852311572
1980-02-06,0.014836145594633213
1980-02-07,0.07160820483549542
1980-02-08,0.1553303149728428
1980-02-09,0.07794486211554234
1980-02-10,0.04197463150026405
1980-02-11,0.11651857906128765
1980-02-12,0.17031925297409062
1980-02-13,0.06346655763822853
1980-02-14,0.0955628743101574
1980-02-15,0.13811118790436647
1980-02-16,0.062430760513132205
1980-02-17,0.06442503520827692
1980-02-18,0.055390757887774145
1980-02-19,0.07462460845367395
1980-02-20,0.051728591738710625
1980-02-21,0.09396269918599698
1980-02-22,0.13358883127361157
1980-02-23,0.16600960311085294
1980-02-24,0.15608801198893268
1980-02-25,0.20523199538511272
1980-02-26,0.25083271929995427
1980-02-27,0.27309101384070705
1980-02-28,0.1876369760762568
1980-02-29,0.1297602823103945
1980-03-01,0.27035635682866394
1980-03-02,0.09438789796549032
1980-03-03,0.07889231551557464
1980-03-04,0.0030075375423550266
1980-03-05,0.11966911779700108
1980-03-06,0.0
1980-03-07,0.12878457369560842
1980-03-08,0.23058436395467996
1980-03-09,0.20221757285720954
1980-03-10,0.043148274048836394
1980-03-11,0.037010089192273304
1980-03-12,0.07082989182384294
1980-03-13,0.12382615322608685
1980-03-14,0.15245885220673336
1980-03-15,0.1363764790807838
1980-03-16,0.15323923682072657
1980-03-17,0.2534893214845576
1980-03-18,0.11120306389161952
1980-03-19,0.07499333910591752
1980-03-20,0.058460322298105986
1980-03-21,0.1440814149104551
1980-03-22,0.09528188613266973
1980-03-23,0.21508246446925844
1980-03-24,0.14509142817013984
1980-03-25,0.16430151475236413
1980-03-26,0.12901298166240338
1980-03-27,0.15728306850030147
1980-03-28,0.15631362949371805
1980-03-29,0.05438086038606736
1980-03-30,0.1087360927348333
1980-03-31,0.13958288322380022
1980-04-01,0.06950202955046006
